Rank,First Name,Last Name,Team,Position,FHG Value,Games Played,G,A,+/-,SOG,PPP,HITS
338,Kerby,Rychel,CGY,LW,-140,7,1,1,0,8,0,10
339,Saku,Maenalanen,CAR,LW,-141,8,0,2,0,0,0,10
340,Matt,Beleskey,NYR,LW,-142,4,0,0,0,7,0,11
341,Juuso,Ikonen,WSH,RW,-143,12,0,2,0,0,0,6
342,Joseph,Blandisi,ANA,C/LW,-143,4,0,1,0,4,0,4
343,Reid,Boucher,VAN,C/LW,-143,2,0,0,0,4,0,7
344,Alexander,Nylander,BUF,RW,-144,3,0,1,0,3,0,0
345,Shawn,Matthias,WPG,LW/RW,-146,0,0,0,0,0,0,0
346,Jussi,Jokinen,VAN,LW/RW,-146,0,0,0,0,0,0,0
347,Daniel,Winnik,MIN,C/LW,-146,0,0,0,0,0,0,0
348,Lance,Bouma,CHI,LW,-146,0,0,0,0,0,0,0
349,Kris,Versteeg,CGY,LW,-146,0,0,0,0,0,0,0
350,Rick,Nash,BOS,LW/RW,-146,0,0,0,0,0,0,0
351,Jannik,Hansen,SJS,LW/RW,-146,0,0,0,0,0,0,0
352,Logan,Shaw,MTL,LW/RW,-146,0,0,0,0,0,0,0
353,Benoit,Pouliot,BUF,LW,-146,0,0,0,0,0,0,0
354,Tomas,Jurco,CHI,LW/RW,-146,0,0,0,0,0,0,0
355,Michael,Cammalleri,EDM,LW/RW,-146,0,0,0,0,0,0,0
356,Scott,Hartnell,NSH,LW,-146,0,0,0,0,0,0,0
357,Shane,Prince,NYI,LW/RW,-146,0,0,0,0,0,0,0
358,Matt,Moulson,BUF,LW/RW,-146,0,0,0,0,0,0,0
359,Alex,Chiasson,WSH,RW,-146,0,0,0,0,0,0,0
360,Tommy,Wingels,BOS,C/RW,-146,0,0,0,0,0,0,0
361,Drew,Stafford,NJD,RW,-146,0,0,0,0,0,0,0
362,Torrey,Mitchell,LAK,C/RW,-146,0,0,0,0,0,0,0
363,Chris,Stewart,CGY,RW,-146,0,0,0,0,0,0,0
